Country,66%_cropland,Lgrip_product,Gfsad,Wapor,Copernicus,Glc_share,Modis,Sentinel,CCI,Globecover, FAO
Sudan,179492,200150,200441,178734,175416,236723,74534,72583,306657,101592,212108
Angola,29147,46149,47370,36208,48197,19111,5014,12311,47007,1520,52150
Benin,33939,31445,31554,35874,31965,42083,51278,7435,36403,23700,34000
Botswana,5375,16733,16989,9986,8189,2163,33,3182,28708,1,2620
Burkina Faso,92878,55235,56587,84778,94497,109111,17655,2077,146743,135426,61430
Cameroon,27802,44254,44356,26253,23713,77783,66087,5406,48821,33369,77500
Central African Republic,2870,7111,7356,3929,3099,13715,1780,548,7529,10335,18800
Chad,42824,51419,51472,47994,44920,80849,105951,15525,169723,103121,52380
Congo,1356,2311,2395,1893,1675,443,271,1338,14151,3,6280
Côte d'Ivoire,8948,58351,60632,9656,11073,118251,4662,4602,138239,11000,80000
Democratic Republic of the Congo,25349,119116,121867,37622,29643,39159,1438,6509,150349,4557,155300
Djibouti,3,0,0,8,15,0,0,11,24,3,20
South Sudan,5353,10047,10378,7891,4121,21346,21534,2357,21686,70141,24777
Equatorial Guinea,1,0,0,2,3,2506,0,16,1468,0,1860
Eritrea,5695,6104,6112,6880,6723,6783,3827,1548,15461,3597,6920
Ethiopia,251144,226647,226093,265023,226489,278789,167157,170742,168270,205637,181896
Gabon,11,13,13,33,16,5370,77,340,7676,0,4950
Gambia,4247,3166,3162,4500,3662,5624,4519,2415,5946,5840,4450
Ghana,29617,31359,36324,33577,26580,102055,31477,5261,95560,17375,52210
Guinea-Bissau,1370,1837,1948,1306,1337,6829,87,538,5150,1797,5500
Guinea,4852,6597,6851,5001,4705,28403,16314,2251,30057,14696,38000
Kenya,76029,83181,83118,84435,74220,56228,37765,46643,85735,63768,63300
Lesotho,3353,7587,7554,4220,2989,7468,1030,3957,5343,0,1420
Liberia,9,51,62,20,15,4807,215,40,25288,2,7000
Madagascar,17723,33708,35335,27356,28194,8573,4713,22832,12690,0,36000
Malawi,39150,45035,45171,39055,30522,47715,26198,12868,10111,1163,38000
Mali,79234,100872,104053,81475,82715,100366,17131,12065,206061,169972,65610
Mauritania,1359,910,917,1935,2174,5723,80,3554,17513,5788,4110
Mozambique,32352,62736,65070,45068,38228,53071,8152,9278,61596,9478,59500
Namibia,3986,8880,9129,5619,7256,216,680,1045,20592,2,8100
Niger,84892,76292,72497,85930,83682,97066,59715,5773,76172,16196,178150
Nigeria,387629,305161,304468,379496,337220,542710,381011,82800,432022,320883,415000
Senegal,38498,38968,38987,37000,37841,47391,21403,14717,51658,85110,32780
Sierra Leone,540,970,986,675,536,20588,6327,227,28827,108,17490
Somalia,9795,15528,16027,10285,10272,14432,1034,8040,46181,94566,11250
South Africa,132191,186539,186744,146204,124820,179853,79326,165275,55296,10773,124130
Swaziland,5054,6157,6175,5364,5191,5481,819,1997,4138,417,1900
Togo,18697,18194,18363,19516,16102,29607,4781,2827,22351,7149,28200
Uganda,63544,62421,62318,66649,60809,66495,94691,28099,94033,41767,91000
United Republic of Tanzania,172603,191020,191159,207595,184790,122969,20153,49035,124359,23638,153097
Zambia,49595,71382,73152,61851,65897,50822,3794,31158,55839,179,38360
Zimbabwe,98091,102037,101634,96342,93798,128674,20087,29095,90621,430,41000
Algeria,83135,94678,94964,81673,88815,114005,67332,59613,58539,73748,85170
Burundi,13675,7089,7074,12633,14294,12629,12651,1683,1641,371,15500
Abyei,1,54,56,9,1,141,639,18,299,1149,0
Libya,21569,19720,19853,22203,25576,21056,13325,9368,9943,1629,20500
Morocco,90962,95298,95556,86434,90268,130870,83329,64628,49962,92564,86119
Rwanda,15040,12621,12594,14476,11642,15576,11546,6080,5414,906,14017
Tunisia,32264,54682,54754,29025,31217,56733,29699,21347,28294,23959,49810
Western Sahara,2,15,16,10,4,0,0,352,1,4,0
Egypt,42820,50680,50581,43753,42588,43002,32000,41140,38959,36440,39220
Ilemi triangle,0,0,0,0,3,42,5,28,103,33,0
